item_name,brand_id,trandate,qty,amount,subsidiary_id,sales_order_type_id
HEX.HHEXT500,179,2018-04-16,1.00000000,65,2,
LEH.11.039.10000.S,277,2018-04-16,0E-8,0,2,
BC.ALK.00.732.10300.B,277,2018-04-16,1.00000000,33,2,
MRA.HKSD,221,2018-04-16,1.00000000,56,2,
BCK.ALK.00.165.116,277,2018-04-16,2.00000000,70,2,
ALK.00.733.10000L.B,277,2018-04-16,1.00000000,0,2,
BC.TRS.00.150.1000,277,2018-04-16,1.00000000,27,2,
LEH.00.039.21000.S,277,2018-04-16,1.00000000,111,2,
TRT.00.640.12701B,277,2018-04-16,1.00000000,82,2,
BC.TRS.00.110.20002,277,2018-04-16,1.00000000,101,2,
EMA.00.107.10900,277,2018-04-16,1.00000000,30,2,
BC.GPS.00.009.10000,277,2018-04-16,1.00000000,36,2,
BCK.GPS.00.010.100,277,2018-04-16,1.00000000,45,2,
STS.07.102.10400.B,277,2018-04-16,1.00000000,73,2,
GPT.08.819.10000.B,277,2018-04-16,1.00000000,77,2,
WER.GIV.023.10000,277,2018-04-16,1.00000000,5,2,
BC.WPB.008.10000,277,2018-04-16,1.00000000,58,2,
MRA.06.067.NR.8,221,2018-04-16,1.00000000,94,2,
CPA.00.424.111,277,2018-04-16,1.00000000,30,2,
GPT.11.747.15000.B,277,2018-04-16,2.00000000,178,2,
SBL.04.539.10000.B,277,2018-04-16,2.00000000,172,2,
MSS.07.512.10000.S,277,2018-04-16,2.00000000,303,2,
STP.06.176.10200.B,277,2018-04-16,2.00000000,108,2,
STP.11.590.10400.B,277,2018-04-16,2.00000000,233,2,
HTA.05.740.80702.B,277,2018-04-16,2.00000000,188,2,
STP.22.176.10300.B,277,2018-04-16,2.00000000,87,2,
GPT.06.506.15000B,277,2018-04-16,2.00000000,234,2,
SBL.05.674.10000.B,277,2018-04-16,2.00000000,250,2,
SBL.07.783.10100,277,2018-04-16,2.00000000,446,2,
ALK.00.733.10000L.B,277,2018-04-16,2.00000000,563,2,
SBL.22.584.10000.B,277,2018-04-16,2.00000000,313,2,
STS.06.525.10000,277,2018-04-16,2.00000000,79,2,
STS.22.577.10000,277,2018-04-16,2.00000000,78,2,
NSW.01.622.10101.B,277,2018-04-16,2.00000000,48,2,
HTA.06.599.11000,277,2018-04-16,2.00000000,92,2,
HTA.11.743.11000,277,2018-04-16,2.00000000,92,2,
STS.04.792.10000,277,2018-04-16,2.00000000,69,2,
BC.TRS.00.201.1000,277,2018-04-16,3.00000000,219,2,
SBL.08.274.100,277,2018-04-16,3.00000000,387,2,
STP.01.590.10700B,277,2018-04-16,3.00000000,300,2,
FSC.07.781.10000,277,2018-04-16,3.00000000,317,2,
HTA.07.512.11000,277,2018-04-16,3.00000000,138,2,
BC.TRS.00.150.1000,277,2018-04-16,4.00000000,88,2,
STP.06.590.10301.B,277,2018-04-16,2.00000000,200,2,
LEH.00.039.23000.S,277,2018-04-16,2.00000000,123,2,
ALK.00.733.11000R.B,277,2018-04-16,2.00000000,547,2,
BC.WPB.00.020.10000,277,2018-04-16,2.00000000,88,2,
FRS.08.011.80102.S,277,2018-04-16,2.00000000,78,2,
GPT.00.152.430,277,2018-04-16,3.00000000,118,2,
MSS.06.150.10001S,277,2018-04-16,3.00000000,504,2,
GPS.11.823.10000.B,277,2018-04-16,3.00000000,151,2,
BC.LOC.00.003.100,277,2018-04-16,3.00000000,47,2,
GPT.01.622.15001.B,277,2018-04-16,4.00000000,306,2,
GPT.00.152.405,277,2018-04-16,7.00000000,167,2,
LEH.00.039.24000.30.S,277,2018-04-16,2.00000000,79,2,
STS.07.102.10700,277,2018-04-16,2.00000000,74,2,
LEH.00.039.21000.B,277,2018-04-16,2.00000000,123,2,
SBL.01.331.10000.B,277,2018-04-16,3.00000000,305,2,
SBL.07.775.10000.B,277,2018-04-16,3.00000000,352,2,
SBL.07.783.10001B,277,2018-04-16,3.00000000,517,2,
MSS.05.440.10000,277,2018-04-16,3.00000000,481,2,
SCT.07.174.10500.B,277,2018-04-16,3.00000000,81,2,
STS.11.102.10000.S,277,2018-04-16,4.00000000,131,2,
KFT.00.152.205,277,2018-04-16,2.00000000,32,2,
TRT.00.640.10200.B,277,2018-04-16,2.00000000,78,2,
BC.TRS.00.151.1000,277,2018-04-16,2.00000000,56,2,
SBL.07.512.10000B,277,2018-04-16,2.00000000,298,2,
SBL.07.788.10001B,277,2018-04-16,2.00000000,313,2,
HPS.07.280.100,277,2018-04-16,2.00000000,299,2,
SVL.08.500.100,277,2018-04-16,2.00000000,79,2,
LEH.07.039.117.S,277,2018-04-16,2.00000000,94,2,
LEH.07.039.12601.B,277,2018-04-16,2.00000000,196,2,
STS.05.440.10000B,277,2018-04-16,2.00000000,79,2,
SBL.08.722.10000.B,277,2018-04-16,2.00000000,281,2,
SVL.00.504.102,277,2018-04-16,2.00000000,79,2,
